Chapter,Verse,Unformatted Text,Keywords
2,2,making your ear attentive to wisdom and inclining your heart to understanding,"attentiveness, wisdom"
2,3,yes if you call out for insight and raise your voice for understanding,"call out, insight"
2,4,if you seek it like silver and search for it as for hidden treasures,"seek, silver"
2,5,then you will understand the fear of the Lord and find the knowledge of God,"understand, fear"
2,6,For the Lord gives wisdom from his mouth come knowledge and understanding,"Lord, wisdom"
2,7,he stores up sound wisdom for the upright he is a shield to those who walk in integrity,"stores up, wisdom"
2,8,guarding the paths of justice and watching over the way of his saints,"guarding, justice"
2,9,Then you will understand righteousness and justice and equity every good path,"understand, righteousness"
2,10,for wisdom will come into your heart and knowledge will be pleasant to your soul,"wisdom, heart"
2,11,discretion will watch over you understanding will guard you,"discretion, understanding"
2,12,delivering you from the way of evil from men of perverted speech,"delivering, evil"
2,13,who forsake the paths of uprightness to walk in the ways of darkness,"forsake, uprightness"
2,14,who rejoice in doing evil and delight in the perverseness of evil,"rejoice, evil"
2,15,men whose paths are crooked and who are devious in their ways,"crooked, devious"
2,16,So you will be delivered from the forbidden woman from the adulteress with her smooth words,"delivered, forbidden"
2,17,who forsakes the companion of her youth and forgets the covenant of her God,"forsakes, companion"
2,18,for her house sinks down to death and her paths to the departed,"sinks, death"
2,19,none who go to her come back nor do they regain the paths of life,"come back, life"
2,20,So you will walk in the way of the good and keep to the paths of the righteous,"walk, righteous"
2,21,For the upright will inhabit the land and those with integrity will remain in it,"upright, land"
2,22,but the wicked will be cut off from the land and the treacherous will be rooted out of it,"wicked, cut off"
3,1,My son do not forget my teaching but let your heart keep my commandments,"forget, teaching, heart, keep, commandments"
3,2,for length of days and years of life and peace they will add to you,"life, peace"
3,3,Let not steadfast love and faithfulness forsake you bind them around your neck write them on the tablet of your heart,"steadfest, faithfulness, tablet, forsake"
3,4,So you will find favor and good success in the sight of God and man,"favor, success, good"
3,5,Trust in the Lord with all your heart and do not lean on your own understanding,"lean, understanding"
3,6,In all your ways acknowledge him and he will make straight your paths,"acknowledge, paths"
3,7,Be not wise in your own eyes fear the Lord and turn away from evil,"fear, evil"
3,8,It will be healing to your flesh and refreshment to your bones,"healing, refreshment"
3,9,Honor the Lord with your wealth and with the firstfruits of all your produce,"wealth, firstfruits, produce"
3,10,then your barns will be filled with plenty and your vats will be bursting with wine,"plenty, vats, bursting"
3,11,My son do not despise the Lords discipline or be weary of his reproof,"despide, descipline, reproof, weary"
3,12,for the Lord reproves him whom he loves as a father the son in whom he delights,"reproves, loves, delights"
3,13,Blessed is the one who finds wisdom and the one who gets understanding,"blessed, wisdom, finds"
3,14,for the gain from her is better than gain from silver and her profit better than gold,"silver, gold, better"
3,15,She is more precious than jewels and nothing you desire can compare with her,"jewels, desire, precious"
3,16,Long life is in her right hand in her left hand are riches and honor,"life, riches, honor"
3,17,Her ways are ways of pleasantness and all her paths are peace,"ways, pleasantness, paths, peace"
3,18,She is a tree of life to those who lay hold of her those who hold her fast are called blessed,"hold, blessed, tree"
3,19,The Lord by wisdom founded the earth by understanding he established the heavens,"Lord, wisdom, earth, established, heavens"
3,20,by his knowledge the deeps broke open and the clouds drop down the dew,"knowledge, broke, open, clouds, drop, down,dew"
3,21,My son do not lose sight of these keep sound wisdom and discretion,"lose, sight, sound, wisdom, discretion"
3,22,and they will be life for your soul and adornment for your neck,"life, soul, adornment"
3,23,Then you will walk on your way securely and your foot will not stumble,"securely, stumble"
3,24,If you lie down you will not be afraid when you lie down your sleep will be sweet,"lie, afraid, sweet"
3,25,Do not be afraid of sudden terror or of the ruin of the wicked when it comes,"sudden, terror, ruin, wicked"
3,26,for the Lord will be your confidence and will keep your foot from being caught,"confidence, keep, caught"
3,27,Do not withhold good from those to whom it is due when it is in your power to do it,"good, power"
3,28,Do not say to your neighbor Go and come again tomorrow I will give itwhen you have it with you,"neighbor, tomorrow, give"
3,29,Do not plan evil against your neighbor who dwells trustingly beside you,"plan, evil, dwells, trustingly, beside"
3,30,Do not contend with a man for no reason when he has done you no harm,"contend, man, reason, done, harm"
3,31,Do not envy a man of violence and do not choose any of his ways,"envy, violence, choose, ways"
3,32,for the devious person is an abomination to the Lord but the upright are in his confidence,"devious, person, abomination, upright, confidence"
3,33,The Lords curse is on the house of the wicked but he blesses the dwelling of the righteous,"curse, house, wicked, blesses, dwelling, righteous"
3,34,Toward the scorners he is scornful but to the humble he gives favor,"scorners, scornful, humble, gives, favor"
3,35,The wise will inherit honor but fools get disgrace,"wise, inherit, honor, fools, disgrace"
4,1,Hear O sons a fathers instruction and be attentive that you may gain insight,"instruction, insight"
4,2,for I give you good precepts do not forsake my teaching,"precepts, teaching"
4,3,When I was a son with my father tender the only one in the sight of my mother,"son, father"
4,4,he taught me and said to me Let your heart hold fast my words keep my commandments and live,"teach, live"
4,5,Get wisdom get insight do not forget and do not turn away from the words of my mouth,"wisdom, insight"
4,6,Do not forsake her and she will keep you love her and she will guard you,"insight, guard"
4,7,The beginning of wisdom is this Get wisdom and whatever you get get insight,"beginning, wisdom"
4,8,Prize her highly and she will exalt you she will honor you if you embrace her,"prize, embrace"
4,9,She will place on your head a graceful garland she will bestow on you a beautiful crown,"garland, crown"
4,10,Hear my son and accept my words that the years of your life may be many,"hear, accept"
4,11,I have taught you the way of wisdom I have led you in the paths of uprightness,"taught, uprightness"
4,12,When you walk your step will not be hampered and if you run you will not stumble,"walk, stumble"
4,13,Keep hold of instruction do not let go guard her for she is your life,"hold, guard"
4,14,Do not enter the path of the wicked and do not walk in the way of the evil,"path, evil"
4,15,Avoid it do not go on it turn away from it and pass on,"avoid, turn away"
4,16,For they cannot sleep unless they have done wrong they are robbed of sleep unless they have made someone stumble,"sleep, wrong"
4,17,For they eat the bread of wickedness and drink the wine of violence,"wickedness, violence"
4,18,But the path of the righteous is like the light of dawn which shines brighter and brighter until full day,"righteous, light"
4,19,The way of the wicked is like deep darkness they do not know over what they stumble,"darkness, stumble"
4,20,My son be attentive to my words incline your ear to my sayings,"attentive, words"
4,21,Let them not escape from your sight keep them within your heart,"heart, sight"
4,22,For they are life to those who find them and healing to all their flesh,"life, healing"
4,23,Keep your heart with all vigilance for from it flow the springs of life,"vigilance, heart"
4,24,Put away from you crooked speech and put devious talk far from you,"speech, talk"
4,25,Let your eyes look directly forward and your gaze be straight before you,"eyes, forward"
4,26,Ponder the path of your feet then all your ways will be sure,"ponder, sure"
4,27,Do not swerve to the right or to the left turn your foot away from evil,"swerve, evil"
5,1,My son be attentive to my wisdom incline your ear to my understanding,"son, attentive, wisdom, ear, understanding
"
5,2,that you may keep discretion and your lips may guard knowledge,"discretion, lips, guard, knowledge
"
5,3,For the lips of a forbidden woman drip honey and her speech is smoother than oil,"lips, forbidden woman, honey, speech, smoother, oil
"
5,4,but in the end she is bitter as wormwood sharp as a two-edged sword,"bitter, wormwood, sharp, two-edged sword
"
5,5,Her feet go down to death her steps follow the path to Sheol,"feet, death, steps, path, Sheol
"
5,6,she does not ponder the path of life her ways wander and she does not know it,"ponder, path, life, ways, wander
"
5,7,And now O sons listen to me and do not depart from the words of my mouth,"sons, listen, depart, words, mouth
"
5,8,Keep your way far from her and do not go near the door of her house,"way, far, her, near, door, house
"
5,9,lest you give your honor to others and your years to the merciless,"give, honor, others, years, merciless"
5,10,let strangers take their fill of your strength and your labors go to the house of a foreigner,"strangers, take, fill, strength, labors, house, foreigner"
5,11,and at the end of your life you groan when your flesh and body are consumed,"end, life, groan, flesh, body, consumed
"
5,12,and you say How I hated discipline and my heart despised reproof,"say, hated, discipline, heart, despised, reproof
"
5,13,I did not listen to the voice of my teachers or incline my ear to my instructors,"listen, voice, teachers, incline, ear, instructors"
5,14,I am at the brink of utter ruin in the assembled congregation,"brink, utter ruin, assembled congregation
"
5,15,Drink water from your own cistern flowing water from your own well,"drink, water, cistern, flowing, well
"
5,16,Should your springs be scattered abroad streams of water in the streets,"springs, scattered, abroad, streams, water, streets"
5,17,Let them be for yourself alone and not for strangers with you,"alone, strangers
"
5,18,Let your fountain be blessed and rejoice in the wife of your youth,"fountain, blessed, rejoice, wife, youth
"
5,19,a lovely deer a graceful doe Let her breasts fill you at all times with delight be intoxicated always in her love,"lovely deer, graceful doe, breasts, fill, delight, intoxicated, love
"
5,20,Why should you be intoxicated my son with a forbidden woman and embrace the bosom of an adulteress,"intoxicated, son, forbidden woman, embrace, bosom, adulteress
"
5,21,For a mans ways are before the eyes of the Lord and he ponders all his paths,"man’s ways, eyes, Lord, ponders, paths
"
5,22,The iniquities of the wicked ensnare him and he is held fast in the cords of his sin,"iniquities, wicked, ensnare, held fast, cords, sin
"
5,23,He dies for lack of discipline and because of his great folly he is led astray,"dies, lack, discipline, great folly, led astray
"
6,1,My son if you have put up security for your neighbor have given your pledge for a stranger,"son, security, pledge"
6,2,if you are snared in the words of your mouth caught in the words of your mouth,"snared, mouth"
6,3,then do this my son and save yourself for you have come into the hand of your neighbor go hasten and plead urgently with your neighbor,"son, neighbor, hasten"
6,4,Give your eyes no sleep and your eyelids no slumber,"eyes, slumber"
6,5,save yourself like a gazelle from the hand of the hunter like a bird from the hand of the fowler,"gazelle, hunter, bird, fowler"
6,6,Go to the ant O sluggard consider her ways and be wise,"sluggard, wise"
6,7,Without having any chief officer or ruler,"chief, officer, ruler"
6,8,she prepares her bread in summer and gathers her food in harvest,"bread, gathers, harvest"
6,9,How long will you lie there O sluggard When will you arise from your sleep,"lie, sluggard, sleep"
6,10,A little sleep a little slumber a little folding of the hands to rest,"little, rest"
6,11,and poverty will come upon you like a robber and want like an armed man,"poverty, robber, man"
6,12,A worthless person a wicked man goes about with crooked speech,"worthless, wicked, speech, person"
6,13,winks with his eyes signals with his feet points with his finger,"signals, eyes, feet, finger"
6,14,with perverted heart devises evil continually sowing discord,"heart, evil, discord"
6,15,therefore calamity will come upon him suddenly in a moment he will be broken beyond healing,"broken, healing"
6,16,There are six things that the Lord hates seven that are an abomination to him,"lord, hates, abomination"
6,17,haughty eyes a lying tongue and hands that shed innocent blood,"eyes, tongue, hands, blood"
6,18,a heart that devises wicked plans feet that make haste to run to evil,"heart, plans, evil"
6,19,a false witness who breathes out lies and one who sows discord among brothers,"lies, brothers, witness"
6,20,My son keep your fathers commandment and forsake not your mothers teaching,"son, father's, mother's, commandment, teaching"
6,21,Bind them on your heart always tie them around your neck,"heart, tie, neck"
6,22,When you walk they will lead you when you lie down they will watch over you and when you awake they will talk with you,"walk, lead, watch, awake, talk"
6,23,For the commandment is a lamp and the teaching a light and the reproofs of discipline are the way of life,"commandment, teaching, light, discipline, life"
6,24,to preserve you from the evil woman from the smooth tongue of the adulteress,"evil, woman, tongue, adulteress"
6,25,Do not desire her beauty in your heart and do not let her capture you with her eyelashes,"desire, beauty, heart, capture"
6,26,for the price of a prostitute is only a loaf of bread but a married woman hunts down a precious life,"prostitute, price, bread, married, hunts, life"
6,27,Can a man carry fire next to his chest and his clothes not be burned,"man, fire, chest, clothes"
6,28,Or can one walk on hot coals and his feet not be scorched,"walk, feet, scorched"
6,29,So is he who goes in to his neighbors wife none who touches her will go unpunished,"neighbor’s, wife, unpunished"
6,30,People do not despise a thief if he steals to satisfy his appetite when he is hungry,"thief, steals, hungry"
6,31,but if he is caught he will pay sevenfold he will give all the goods of his house,"pay, sevenfold, goods, house"
6,32,but if he is caught he will pay sevenfold he will give all the goods of his house,"commits, adultery, himself"
6,33,He will get wounds and dishonor and his disgrace will not be wiped away,"wounds, dishonor, disgrace"
6,34,For jealousy makes a man furious and he will not spare when he takes revenge,"jealousy, man, furious, revenge"
6,35,He will accept no compensation he will refuse though you multiply gifts,"compensation, gifts"
7,1,My son keep my words and treasure up my commandments with you,"son, keep, commandments"
7,2,Keep my commandments and live keep my teaching as the apple of your eye,"live, teaching, eye"
7,3,Bind them on your fingers write them on the tablet of your heart,"bind, write, heart"
7,4,Say to wisdom You are my sister and call insight your intimate friend,"wisdom, sister, insight"
7,5,To keep you from the forbidden woman from the adulteress with her smooth words,"forbidden, adulteress, words"
7,6,For at the window of my house I have looked out through my lattice,"window, lattice, house"
7,7,And I have seen among the simple I have perceived among the youths a young man lacking sense,"simple, youths, sense"
7,8,Passing along the street near her corner taking the road to her house,"street, corner, house"
7,9,In the twilight in the evening at the time of night and darkness,"twilight, evening, darkness"
7,10,And behold the woman meets him dressed as a prostitute wily of heart,"woman, prostitute, heart"
7,11,She is loud and wayward her feet do not stay at home,"loud, wayward, home"
7,12,Now in the street now in the market and at every corner she lies in wait,"street, market, corner"
7,13,She seizes him and kisses him and with bold face she says to him,"seizes, kisses, bold"
7,14,I had to offer sacrifices and today I have paid my vows,"sacrifices, vows, meet"
7,15,So now I have come out to meet you to seek you eagerly and I have found you,"spread, linens, Egyptian"
7,16,I have spread my couch with coverings colored linens from Egyptian linen,"perfumed, bed, myrrh"
7,17,I have perfumed my bed with myrrh aloes and cinnamon,"aloes, cinnamon, love"
7,18,Come let us take our fill of love till morning let us delight ourselves with love,"husband, journey, money"
7,19,For my husband is not at home he has gone on a long journey,"seductive, speech, persuades"
7,20,He took a bag of money with him at full moon he will come home,"smooth, talk, compels"
7,21,With much seductive speech she persuades him with her smooth talk she compels him,"follows, slaughter, cost"
7,22,All at once he follows her as an ox goes to the slaughter or as a stag is caught fast,"arrow, liver, snare"
7,23,Till an arrow pierces its liver as a bird rushes into a snare he does not know that it will cost him his life,"bird, rushes, cost"
7,24,And now O sons listen to me and be attentive to the words of my mouth,"sons, listen, mouth"
7,25,Let not your heart turn aside to her ways do not stray into her paths,"heart, ways, stray"
7,26,For many a victim has she laid low and all her slain are a mighty throng,"victim, laid, low"
7,27,Her house is the way to Sheol going down to the chambers of death,"house, Sheol, death"
8,1,Does not wisdom call Does not understanding raise her voice,"wisdom, call, understanding, raise"
8,2,On the heights beside the way at the crossroads she takes her stand,"heights, crossroads"
8,3,beside the gates in front of the town at the entrance of the portals she cries aloud,"gates, entrance, portals"
8,4,To you O men I call and my cry is to the children of man,"cry, children of man"
8,5,O simple ones learn prudence O fools learn sense,"prudence, learn, sense"
8,6,Hear for I will speak noble things and from my lips will come what is right,"noble, right"
8,7,for my mouth will utter truth wickedness is an abomination to my lips,"truth, wickedness, abomination"
8,8,All the words of my mouth are righteous there is nothing twisted or crooked in them,"mouth, righteous, twisted, crooked"
8,9,They are all straight to him who understands and right to those who find knowledge,knowledge
8,10,Take my instruction instead of silver and knowledge rather than choice gold,"instruction, silver, knowledge, gold"
8,11,for wisdom is better than jewels and all that you may desire cannot compare with her,"wisdom, jewels, desire"
8,12,I wisdom dwell with prudence and I find knowledge and discretion,"wisdom, prudence, knowledge, discretion"
8,13,The fear of the Lord is hatred of evil Pride and arrogance and the way of evil and perverted speech I hate,"fear, evil, pride, arrogance, perverted"
8,14,I have counsel and sound wisdom I have insight I have strength,"counsel, wisdom, insight, strength"
8,15,By me kings reign and rulers decree what is just,"kings, reign, rulers, decree"
8,16,by me princes rule and nobles all who govern justly,"princes, nobles, rule, justly"
8,17,I love those who love me and those who seek me diligently find me,"love, seek, diligently"
8,18,Riches and honor are with me enduring wealth and righteousness,"riches, honor, wealth, righteousness"
8,19,My fruit is better than gold even fine gold and my yield than choice silver,"fruit, gold, silver"
8,20,I walk in the way of righteousness in the paths of justice,"righteousness, justice"
8,21,granting an inheritance to those who love me and filling their treasuries,"inheritance, love, treasuries"
8,22,The Lord possessed me at the beginning of his work,possessed
8,23,Ages ago I was set up at the first before the beginning of the earth,beginning
8,24,When there were no depths I was brought forth when there were no springs abounding with water,"depths, springs"
8,25,Before the mountains had been shaped before the hills I was brought forth,"mountains, hills"
8,26,before he had made the earth with its fields or the first of the dust of the world,"earth, fields, dust"
8,27,When he established the heavens I was there when he drew a circle on the face of the deep,"heavens, deep"
8,28,when he made firm the skies above when he established the fountains of the deep,"sky, fountains, deep"
8,29,when he assigned to the sea its limit so that the waters might not transgress his command when he marked out the foundations of the earth,"sea, limit, command, foundations, earth"
8,30,then I was beside him like a master workman and I was daily his delight rejoicing before him always,"master, workman, delight, rejoice"
8,31,rejoicing in his inhabited world and delighting in the children of man,"rejoice, inhabited, delight"
8,32,And now O sons listen to me blessed are those who keep my ways,"listen, blessed"
8,33,Hear instruction and be wise and do not neglect it,"instructions, wise, neglect"
8,34,Blessed is the one who listens to me watching daily at my gates waiting beside my doors,"blessed, listen, watching, waiting"
8,35,For whoever finds me finds life and obtains favor from the Lord,"life, favor"
8,36,but he who fails to find me injures himself all who hate me love death,"fail, injury, death"
9,1,Wisdom has built her house she has hewn her seven pillars,"wisdom, building, foundation"
9,2,She has slaughtered her beasts she has mixed her wine she has also set her table,"feasting, preparation, hospitality"
9,3,She has sent out her young women to call from the highest places in the town,"sending, invitation, proclamation"
9,4,Whoever is simple let him turn in here To him who lacks sense she says,"calling, simplicity, guidance"
9,5,Come eat of my bread and drink of the wine I have mixed,"invitation, nourishment, celebration"
9,6,Leave your simple ways and live and walk in the way of insight,"transformation, growth, understanding"
9,7,Whoever corrects a scoffer gets himself abuse and he who reproves a wicked man incurs injury,"correction, response, consequence"
9,8,Do not reprove a scoffer or he will hate you reprove a wise man and he will love you,"reproof, discernment, affirmation"
9,9,Give instruction to a wise man and he will be still wiser teach a righteous man and he will increase in learning,"instruction, wisdom, development"
9,10,The fear of the Lord is the beginning of wisdom and the knowledge of the Holy One is insight,"reverence, knowledge, discernment"
9,11,For by me your days will be multiplied and years will be added to your life,"prolonging, life, blessing"
9,12,If you are wise you are wise for yourself if you scoff you alone will bear it,"self-responsibility, consequences, accountability"
9,13,The woman Folly is loud she is seductive and knows nothing,"folly, deception, ignorance"
9,14,She sits at the door of her house she takes a seat on the highest places of the town,"presence, observation, elevation"
9,15,calling to those who pass by who are going straight on their way,"calling, direction, path"
9,16,Whoever is simple let him turn in here And to him who lacks sense she says,"temptation, allure, indulgence"
9,17,Stolen water is sweet and bread eaten in secret is pleasant,"secrecy, pleasure, enticement"
9,18,But he does not know that the dead are there that her guests are in the depths of Sheol,"ignorance, danger, unawareness"
10,1,The proverbs of Solomon A wise son makes a glad father but a foolish son is a sorrow to his mother,"warning, consequences, darkness"
10,2,Treasures gained by wickedness do not profit but righteousness delivers from death,"Treasures, wickedness, righteousness, death"
10,3,The Lord does not let the righteous go hungry but he thwarts the craving of the wicked,"righteous, hungry, craving, wicked"
10,4,A slack hand causes poverty but the hand of the diligent makes rich,"slack, poverty, diligent, rich"
10,5,He who gathers in summer is a prudent son but he who sleeps in harvest is a son who brings shame,"prudent, harvest, shame"
10,6,Blessings are on the head of the righteous but the mouth of the wicked conceals violence,"Blessings, righteous, wicked, violence"
10,7,The memory of the righteous is a blessing but the name of the wicked will rot,"memory, righteous, blessing, wicked, rot"
10,8,The wise of heart will receive commandments but a babbling fool will come to ruin,"wise, commandments, fool, ruin"
10,9,Whoever walks in integrity walks securely but he who makes his ways crooked will be found out,"integrity, crooked"
10,10,Whoever winks the eye causes trouble and a babbling fool will come to ruin,"trouble, fool, ruin"
10,11,The mouth of the righteous is a fountain of life but the mouth of the wicked conceals violence,"righteous, life, wicked, violence"
10,12,Hatred stirs up strife but love covers all offenses,"Hatred, strife, love, offenses"
10,13,On the lips of him who has understanding wisdom is found but a rod is for the back of him who lacks sense,"understanding, wisdom, rod, sense"
10,14,The wise lay up knowledge but the mouth of a fool brings ruin near,"wise, knowledge, fool, ruin"
10,15,A rich mans wealth is his strong city the poverty of the poor is their ruin,"wealth, strong, poverty, poor, ruin"
10,16,The wage of the righteous leads to life the gain of the wicked to sin,"righteous, life, wicked, sin"
10,17,Whoever heeds instruction is on the path to life but he who rejects reproof leads others astray,"life, rejects, astray"
10,18,The one who conceals hatred has lying lips and whoever utters slander is a fool,"hatred, lying, slander, fool"
10,19,When words are many transgression is not lacking but whoever restrains his lips is prudent,"transgression, restrains, prudent"
10,20,The tongue of the righteous is choice silver the heart of the wicked is of little worth,"righteous, silver, wicked, worth"
10,21,The lips of the righteous feed many but fools die for lack of sense,"righteous, fool"
10,22,The blessing of the Lord makes rich and he adds no sorrow with it,"blessing, sorrow"
10,23,Doing wrong is like a joke to a fool but wisdom is pleasure to a man of understanding,"fool, wisdom, pleasure"
10,24,What the wicked dreads will come upon him but the desire of the righteous will be granted,"dreads, desire, righteous"
10,25,When the tempest passes the wicked is no more but the righteous is established forever,"tempest, wicked, righteous"
10,26,Like vinegar to the teeth and smoke to the eyes so is the sluggard to those who send him,sluggard
10,27,The fear of the Lord prolongs life but the years of the wicked will be short,"prolongs, life, wicked"
10,28,The hope of the righteous brings joy but the expectation of the wicked will perish,"hope, joy, perish"
10,29,The way of the Lord is a stronghold to the blameless but destruction to evildoers,"stronghold, blameless, destruction"
10,30,The righteous will never be removed but the wicked will not dwell in the land,"wicked, dwell"
10,31,The mouth of the righteous brings forth wisdom but the perverse tongue will be cut off,"wisdom, perverse"
10,32,The lips of the righteous know what is acceptable but the mouth of the wicked what is perverse,"acceptable, wicked, perverse"
11,1,A false balance is an abomination to the Lord but a just weight is his delight,"false, balance, abomination, weight, delight"
11,2,When pride comes then comes disgrace but with the humble is wisdom,"pride, disgrace, humble, wisdom"
11,3,The integrity of the upright guides them but the crookedness of the treacherous destroys them,"integrity, upright, crookedness, treacherous, destroys"
11,4,Riches do not profit in the day of wrath but righteousness delivers from death,"riches, profit, day, wrath, righteousness, delivers, death"
11,5,The righteousness of the blameless keeps his way straight but the wicked falls by his own wickedness,"righteousness, blameless, keeps, straight, wicked, falls, wickedness"
11,6,The righteousness of the upright delivers them but the treacherous are taken captive by their lust,"righteousness, upright, delivers, treacherous, captive, lust"
11,7,When the wicked dies his hope will perish and the expectation of wealth perishes too,"wicked, dies, hope, perish, expectation, wealth, perishes"
11,8,The righteous is delivered from trouble and the wicked walks into it instead,"righteous, delivered, trouble, wicked, walks, perishes"
11,9,With his mouth the godless man would destroy his neighbor but by knowledge the righteous are delivered,"mouth, godless, man, destroy, neighbor, knowledge, righteous, delivered"
11,10,When it goes well with the righteous the city rejoices and when the wicked perish there are shouts of gladness,"well, righteous, city, rejoices, wicked, perish, shouts, gladness"
11,11,By the blessing of the upright a city is exalted but by the mouth of the wicked it is overthrown,"blessing, upright, city, exalted, mouth, wicked, overthrown"
11,12,Whoever belittles his neighbor lacks sense but a man of understanding remains silent,"belittles, neighbor, lacks, sense, man, understanding, remains, silent"
11,13,Whoever goes about slandering reveals secrets but he who is trustworthy in spirit keeps a thing covered,"slandering, reveals, secrets, trustworthy, spirit, keeps, thing, covered"
11,14,Where there is no guidance a people falls but in an abundance of counselors there is safety,"guidance, falls, abundance, counselors, safety"
11,15,Whoever puts up security for a stranger will surely suffer harm but he who hates striking hands in pledge is secure,"security, stranger, suffer, harm, hates, stricking, hands, pledge, secure"
11,16,A gracious woman gets honor and violent men get riches,"gracious, woman, honor, violent, men, riches"
11,17,A man who is kind benefits himself but a cruel man hurts himself,"man, kind, benefits, cruel, hurts, himself"
11,18,The wicked earns deceptive wages but one who sows righteousness gets a sure reward,"wicked, earns, deceptive, wages, sows, righteousness, sure, reward"
11,19,Whoever is steadfast in righteousness will live but he who pursues evil will die,"steadfast, righteousness, live, pursues, evil, die"
11,20,Those of crooked heart are an abomination to the Lord but those of blameless ways are his delight,"crooked, heart, abomination, Lord, blameless, ways, delight"
11,21,Be assured an evil person will not go unpunished but the offspring of the righteous will be delivered,"assured, evil, person, unpunished, offspring, righteousness, delivered"
11,22,Like a gold ring in a pigs snout is a beautiful woman without discretion,"gold, ring, pig, snout, beautiful, woman, discretion"
11,23,The desire of the righteous ends only in good the expectation of the wicked in wrath,"desire, righteous, ends, only, good, expectation, wicked, wrath"
11,24,One gives freely yet grows all the richer another withholds what he should give and only suffers want,"freely, grows, richer, withholds, suffers"
11,25,Whoever brings blessing will be enriched and one who waters will himself be watered,"brings, blessing, enriched, waters, himself, watered"
11,26,The people curse him who holds back grain but a blessing is on the head of him who sells it,"people, curse, holds, back, grain, blessing, head, him, sells"
11,27,Whoever diligently seeks good seeks favor but evil comes to him who searches for it,"diligently, seeks, good, favor, evil, him, searches"
11,28,Whoever trusts in his riches will fall but the righteous will flourish like a green leaf,"trusts, riches, fall, righteous, flourish, green, leaf"
11,29,Whoever troubles his own household will inherit the wind and the fool will be servant to the wise of heart,"troubles, household, inherit, wind, fool, servant, wise, heart"
11,30,The fruit of the righteous is a tree of life and whoever captures souls is wise,"fruit, righteous, tree, life, captures, souls, wise"
11,31,If the righteous is repaid on earth how much more the wicked and the sinner,"righteous, repaid, earth, wicked, sinner"
12,1,Whoever loves discipline loves knowledge but he who hates reproof is stupid,"wine, mocker, strong drink, brawler, led astray, not wise"
12,2,A good man obtains favor from the Lord but a man of evil devices he condemns,"way, fool, right, own eyes, wise man, listens, advice"
12,3,No one is established by wickedness but the root of the righteous will never be moved,"established, wickedness, root, righteous, never moved"
12,4,An excellent wife is the crown of her husband but she who brings shame is like rottenness in his bones,"excellent, wife, crown, husband, brings shame, rottenness, bones"
